loan_id,customer_id,loan_amount,interest_rate,loan_status,default,approval_date
L000662,1102,75073 USD,9.26,CLOSED,0,2024-01-19
L000407,C01221,38213 CAD,8.06,Active,0,2022-11-24
L000866,C01571,33738.64,11.85,Active,No,2023-03-15
L000284,C01422,98287.22,5.37,Active,0,2022-02-22
L000232,C01063,44187 CAD,6.23,Active,Good,2024-03-06
L000442,C01692,"37,724",6.03,Closed,0,2022-11-12
L000008,C01665,17785.46,9.26,Active,N,2023-09-04
L000814,C01174,135242.49,12.28,Active,0,2024-01-18
L000725,C01419,17211.29,7.7,Closed,0,2022-10-20
L000683,C01848,50503.36,4.4,Active,N,2022-07-05
L000955,C01691,37866.49,8.21,Active,0,2023-06-02
L000784,C01344,"$99,599.31",6.37,Active,0,2023-11-25
L000219,C01780,48172 CAD,5.38,Active,FALSE,2024-03-12
L001235,1119,"48,731",8.28,Active,0,2024-05-18
L000126,C01167,161598.64,13.87,Active,0,2023-11-29
L000105,C01685,106471 CAD,9.87,Closed,0,2022-06-14
L000934,C01191,66397.9,4.36,ACTIVE,0,2024-03-05
L000221,C01363,185185 USD,13.88,Active,0,2023-06-03
L000977,C01684,70620.27,nan,Active,FALSE,2024-03-06
L001069,C01653,"$66,748.77",9.87,Active,0,2023-05-30
L000502,C01319,126414.28,4.2,Active,0,2022-10-17
L000742,01432,256703.99,7.53,Active,0,2024-05-09
L000381,C01649,250000.0,unknown,Defaulted,1,2023-07-04
L001053,C01563,80913.49,6.79,Active,0,2022-03-17
L000732,1640,43657.27,9.34,Closed,0,2022-12-01
L000938,C01120,208304 CAD,11.49,Active,No,2022-05-05
L000128,C01425,52983.78,2.2,Active,0,2023-05-18
L001025,C01104,142711 CAD,8.42,closed,0,2024-04-21
L000280, C01338 ,34624.15,7.15,Active,0,2022-02-07
L000950,C01001,"44,360",9.16,Active,0,2023-07-30
L000531,C01504,100634.05,6.9,Active,1,2022-04-17
L000517,C01226,57712.08,6.44%,Active,0,2024-05-13
L000216,C01124,"$70,667.37",11.92%,Charged Off,1,2022-06-24
L000135,C01251,48939.23,8.1,Open,0,2022-03-22
L000827,1007,55305 CAD,6.06,Active,0,2023-03-07
L001006,C01304,"31,047",10.61,Current,0,2023-06-11
L000554, C01206 ,26197.69,11.95,Active,0,2024-02-10
L000238,C01680,34094.22,12.7,Active,0,2023-03-28
L000003,C01036,28701.66,9.12,Charged Off,1,2023-10-05
L000188,C01331,116720.25,7.16,Active,0,2022-06-29
L000236,C01738,21773.44,6.86%,Active,0,2022-07-24
L000757,C01464,204270.68,7.8,Active,N,2022-04-23
L000149,C01783,147724.78,11.5,Active,1,2023-05-06
L000883,C01489,97527.86,7.25%,Current,0,2023-05-06
L000466,C01769,77339.72,13.53,Active,No,2022-06-10
L000744,C999102,30922.63,7.63,Active,0,2022-01-28
L001190,C01353,39847.42,7.4,Active,0,2022-08-07
L000622,C01666,54358.63,250,Active,0,2023-02-26
L000896,C01276,32911.88,9.02,Active,0,2023-05-10
L000328,C01388,71906.12,10.68,Active,0,2024-02-21
L000645,C01709,9888.67,8.45,Active,0,2024-04-19
L000988,C01136,48526.64,2.2,Closed,0,2022-04-20
L000250, C01303 ,"$41,704.72",6.55,Active,0,2023-12-30
L000567,C01424,119744.25,9.28,Active,1,2023-07-26
L000413,C01593,38030 CAD,9.23,Active,0,2023-11-14
L001040,C-01120,44377.74,3.03,Active,0,2023-04-12
L001244,C01845,"250,000",7.43,Active,0,2022-01-06
L000101,C01752,"$37,296.50",2.39,closed,0,2022-08-03
L000270,C01054,78280.28,5.14,Active,0,2022-01-07
L000694,cust_01720,19636.23,9.45,Active,0,2024-03-03
L000447,C01187,"22,059",10.97,Active,0,2022-06-15
L001186,C-01040,85375.89,7.54%,Active,No,2022-11-22
L000695,C01199,91132.52,8.77,Paid Off,0,2023-09-11
L000818,C01329,20260.07,13.26,Paid Off,Good,2022-10-20
L000726,C01430,103536.61,6.06,Active,0,2023-02-21
L000319,C01213,106086.99,11.06,Active,0,2022-09-30
L000673,C01573,"$42,829.68",11.28,Active,0,2022-03-30
L000616,C01094,64733.92,7.24,charged off,0,2023-02-26
L000604,C01415,23807.41,13.57,Active,0,2022-12-31
L000398,C01219,75012.37,10.0,Active,0,2024-01-14
L001005,C01847,50418.15,5.94,Active,0,2022-08-03
L000123,C01485,85923.36,5.89,Charged Off,Good,2023-12-20
L001090,C01641,314425.98,8.48,Current,0,2023-05-18
L000432,C01323,8266.29,3.21,Open,0,2023-10-04
L001224,C01197,53143.55,9.97,Active,0,2024-01-11
L000770,C01821,53582 USD,7.23,Active,0,2022-06-05
L000019,C01798,17316 USD,2.2,closed,0,2022-08-20
L000251,C01435,"$47,428.56",2.77,Current,Good,2022-01-01
L000144,C01270,"15,702",12.65,Active,0,2022-08-14
L000088,C01846,50087.51,9.19,Closed,0,2024-04-11
L001032,C01744,104430.94,7.08,Closed,0,2023-06-13
L000750,01569,"59,375",7.87%,Charged Off,1,2022-07-22
L000275,C01786,7806.55,unknown,Charged Off,0,2022-07-30
L000545,C01187,60740.7,7.84,Active,0,2023-07-20
L000140,C01625,64111.37,7.23,Active,0,2023-10-18
L000417,C01700,58983.37,10.46,ACTIVE,1,2023-10-31
L000292,C01626,90981.05,9.13,Active,Good,2024-05-28
L000894,C01195,60077.08,5.64,Charged Off,0,2024-01-02
L000012,C01414,120275 USD,3.78,Active,0,2023-03-08
L000506,C01003,150086.49,13.56,Active,0,2022-05-12
L000853,C01528,"$38,767.32",150,Closed,FALSE,2022-03-02
L000748,C01256,"$33,885.91",4.99,Charged Off,1,2023-12-20
L000373,C01824,40876.01,13.19,Active,1,2023-11-21
L000075,C01576,279646 USD,10.22,Active,0,2024-03-04
L000186,C01820,170790.03,4.14%,Active,0,2022-12-17
L000573,C01281,22236.75,8.31,Active,0,2023-06-02
L001096,C01471,18228.25,7.57,Closed,0,2022-05-11
L000730,C01541,125438.71,12.43,Active,0,2023-02-02
L000619,01682,"57,439",11.22,Active,0,2022-08-07
L000029,C01092,"$92,985.50",8.79,Active,0,2022-08-12
L000848,C01337,"$80,589.80",11.28,Active,0,2023-11-19
L000582,C01701,27975.39,7.19,Active,0,2022-12-19
L000589,C01100,51560.79,11.74,Active,0,2023-06-12
L001169,C01765,170087.04,4.45,Active,0,2022-11-23
L000579,C01579,39499.79,5.49,Active,0,2024-03-10
L001067,C01267,80797.0,6.48,Active,1,2022-05-29
L000409,C01082,35505 USD,2.85,Active,0,2024-01-25
L001215,01018,125444.36,11.48,Active,0,2023-03-08
L000587,C01192,119822.46,7.03,Active,0,2023-04-20
L000713,C01476,65788.96,2.2,Active,0,2023-12-27
L000013,C01749,20647.06,13.54,Closed,0,2022-07-17
L000361,C01219,67513.55,7.28,Closed,0,2023-11-12
L000115,C01597,51576 CAD,8.33,Active,0,2022-05-15
L001065,C999101,26529 CAD,8.21,Active,0,2023-12-31
L000023,C01841,100851.94,9.42%, Active ,0,2024-04-19
L000347,1184,182071.15,9.54,Active,0,2023-09-26
L000296,C01729,89041.79,7.13,Open,0,2022-04-10
L000081,C01134,129743.55,8.26,Active,1,2022-06-23
L001107,C01313,61491.87,12.41,Active,N,2022-09-11
L000331,C01491,"46,748",9.66,Active,0,2024-02-16
L000558,C01830,36774.13,10.7,Closed,1,2023-12-06
L000676,C01453,17044.3,7.19,Closed,FALSE,2022-08-13
L000879,C01806,37857.2,9.89, Active ,0,2022-05-21
L000230,C01423,42885.41,15.31,Active,0,2022-05-16
L001091,C01164,171505.61,9.57%,Active,0,2022-11-21
L000954,C01416,64910.07,4.54,Active,0,2023-09-27
L000231,C01763,127661.61,8.36,Active,0,2022-12-06
L000384,C01430,107962 CAD,2.98,Active,0,2023-10-26
L000627,C01058,24721.02,7.94,active,0,2024-01-09
L000815,C01224,38192.12,11.84,Closed,0,2023-05-07
L000682,C01395,48983.51,11.91,closed,0,2023-06-12
L000108,C01580,71416.41,7.14,Active,0,2023-07-20
L001237,01080,44988 USD,11.37,Closed,0,2024-02-01
L000289,C01063,61359.17,11.72,Active,0,2023-03-06
L000276,cust_01270,10339.06,11.15,Active,0,2023-10-17
L000348,C01283,81239.79,11.03,Closed,0,2024-05-19
L000837,C01726,190207.24,5.88,Active,0,2022-06-26
L000205,C01783,92331.43,8.06,Active,0,2023-05-29
L000976,C01620,47769.31,7.84,Active,0,2022-04-07
L001207,C01273,118041.27,6.09%,Active,0,2022-08-16
L000720,C01063,79314.46,6.38,Active,0,2023-06-09
L000900,C01329,83878 CAD,unknown,active,1,2022-10-20
L001160,C01128,50726 CAD,3.84,Open,0,2023-12-24
L001105,C01337,79414 USD,11.85,Charged Off,Default,2022-04-25
L001119,C01624,89327.92,10.46,Closed,0,2024-02-25
L000244,C01162,59937 CAD,12.3,active,0,2022-01-03
L001037,C01491,11287.02,7.9,Active,0,2023-03-11
L000280, C01338 ,34624.15,7.15,Active,0,2022-02-07
L000054,C01346,89076.06,13.72,Paid Off,1,2024-02-01
L001132,C01460,"19,949",13.8,Open,0,2024-05-15
L001217,1161,152395.34,8.64,Closed,0,2023-06-22
L000163,C01029,76183.34,3.43,Active,FALSE,2023-11-13
L000046,C01356,15501.84,18.53,Active,Y,2023-09-16
L000823,C01166,116672.89,9.93,Active,Default,2022-02-08
L001127,C01595,40114.19,10.93,Active,1,2024-05-13
L000490,C01149,49710.19,4.42,Complete,0,2023-04-21
L001094,C01184,88489.86,6.4,Active,0,2023-11-22
L000555,C01002,68541.52,8.35,Closed,1,2023-07-29
L000439,C01816,43615.43,6.98,Charged Off,1,2023-07-22
L000969,C01238,74504 CAD,11.99,Active,0,2022-04-19
L000341,C01334,208316.0,8.62,Charged Off,1,2022-03-19
L000962,C01604,149030.59,7.29,Active,0,2024-03-05
L000167,C-01018,44524.27,6.02,Active,0,2023-03-13
L000826,C01549,-73819.36,8.66,Current,0,2022-11-06
L000437,C01042,24014.79,9.28,Complete,0,2023-04-20
L000595,C01072,-60062.85,10.21,Active,0,2023-03-06
L000428,UNKNOWN,71194.29,6.12,ACTIVE,0,2023-10-04
L001056,C01125,93899.97,2.2,ACTIVE,0,2022-11-24
L000503,C01547,80854.45,8.1,Active,0,2022-10-24
L001168,C01508,"$69,018.40",12.71,Active,0,2024-05-15
L000594,C01660,"$132,731.61",3.91,Active,0,2024-05-17
L000199,C01478,73151 CAD,12.19,Closed,0,2022-09-24
L001170,C01379,128739 CAD,9.32,Active,1,2022-10-12
L000096,C01146,36751.12,9.51,Active,0,2023-06-01
L000617,C01028,91292.01,14.97,Open,0,2022-10-05
L001162,UNKNOWN,"226,186",9.57,Complete,0,2022-06-15
L000015,C01423,"102,722",11.24,Active,1,2023-12-01
L000758,C01641,24034.55,5.9,Active,0,2023-11-22
L000926,C01415,48474.24,10.71,Active,N,2023-01-31
L000644,C01125,32694.56,6.42,Active,0,2022-04-22
L000212,C01084,26057 USD,8.76,Active,0,2022-05-02
L000704,C01527,8576 USD,12.22,Active,FALSE,2023-03-28
L000154,C01306,15525.86,6.51,Current,0,2023-08-04
L000444,C01016,124918.38,11.42,Active,1,2022-04-28
L000235,C01666,149457.22,7.70%,Charged Off,Good,2022-10-04
L001205,C01445,67517.29,5.0,Active,No,2022-12-20
L000658,C01649,185833.72,11.66,Paid Off,0,2023-02-07
L000248,C01693,78775.89,12.69,Closed,0,2023-11-23
L000175,C01407,22290.28,10.18,Active,0,2023-09-30
L000253,C01820,"$84,211.99",9.91,Closed,0,2023-08-20
L000599,C01509,60748.97,10.81,Active,0,2023-02-20
L000854,C01141,103420.57,2.43,Open,No,2024-02-03
L000209,C01566,68775.98,9.25,Active,0,2022-11-14
L001106,C01555,46818.89,7.82,Active,0,2023-05-17
L000743,C01848,23292 USD,6.39,Active,0,2023-09-05
L001116,C01322,11818.23,3.33,Closed,N,2024-04-17
L000777,C01646,141962.99,7.59,Active,0,2023-10-26
L000766,C01267,"94,520",2.99,Active,0,2024-01-01
L000519,C01796,"$47,959.32",17.57%,Active,1,2022-06-24
L000702,C01407,"$14,855.22",9.2,Active,0,2022-05-26
L000291,C01480,52658.28,5.37,Active,Good,2022-01-17
L001177,C01665,39359.68,9.54,charged off,0,2022-07-05
L000833,C01627,250000.0,6.92%,Paid Off,No,2023-01-20
L001085,C01208,81490 CAD,7.72,Closed,0,2023-05-09
L000734,C01231,56344 CAD,6.32,Active,0,2023-11-04
L000518,C01147,"31,167",6.97,Charged Off,1,2022-10-06
L001011,01823,78200.98,7.78,Active,1,2023-05-13
L001021,C01840,28156.12,5.45,Active,0,2022-03-23
L000157,C01775,"$112,719.76",8.88,Current,0,2022-08-03
L000114,C01833,137337.21,9.5,Closed,0,2024-05-11
L000618,C01232,28130.24,9.25%,Active,0,2022-03-29
L000362,C01574,14709.92,2.2,Active,0,2022-01-05
L000601,1754,117021.84,2.2,Closed,0,2024-04-18
L000074,C01611,38643.01,6.8,Active,Yes,2023-02-24
L000175,C01407,22290.28,10.18,Active,0,2023-09-30
L000470,C01126,"34,614",10.12,Active,0,2022-04-22
L000550,C01411,76658.58,250,Charged Off,0,2022-08-28
L001050,C01646,65544.77,9.28,Closed,0,2023-03-09
L001194,C01038,107264.46,8.43,Active,0,2023-04-16
L000351,C01180,158751.7,5.49,Active,0,2023-10-29
L000151,C01521,30061.23,7.33,Active,0,2023-06-06
L000086,C01675,"77,891",-3,Active,0,2023-02-03
L000383,C01513,97232.38,5.8,Active,1,2023-02-15
L000505,C01668,77988.2,6.13,Charged Off,N,2024-06-05
L000721,C01543,"$32,844.25",6.25,Active,0,2023-01-08
L000152,C01734,13630.36,14.52,Charged Off,Yes,2022-11-05
L000660,C01155,64322 USD,8.36,Closed,0,2022-07-14
L001147,C01178,"$32,124.38",10.77,Active,0,2023-04-01
L000130,C01580,43453.11,9.6,Closed,0,2023-10-06
L000323,C01678,50416 CAD,8.42,Active,N,2023-10-25
L000036,C01305,57447 CAD,11.43,Closed,0,2022-07-06
L000310,C01723,38578.75,5.02,Charged Off,1,2024-03-25
L000718,C01461,"$28,629.26",10.77,Active,0,2022-12-27
L000058,C01617,25714.75,8.47,Active,0,2024-06-12
L000094,C01061,"$142,056.58",7.98,Closed,0,2024-06-15
L000142,C01262,67116.84,5.69,Closed,0,2023-12-30
L000404,C01342,125599.76,9.34,Active,Good,2022-09-13
L000560,C01114,153583.41,11.55%,Charged Off,1,2022-10-10
L000856,1347,37612.7,9.1,Closed,N,2022-10-05
L001245,C01191,101843.37,6.57,Closed,0,2023-12-14
L000844,C01731,22829.32,13.83,Active,0,2022-02-12
L000991,C01327,110586.5,7.4,Active,No,2022-04-10
L000942,C01516,22571.14,9.46,Active,0,2022-10-01
L000131,C01649,44374.87,3.9,Active,0,2024-04-13
L000367,C01558,38597.68,9.56,Active,FALSE,2023-01-06
L000063,C01632,129645.81,6.01,Active,N,2023-09-13
L000801,C01533,51952.27,8.39,Active,0,2024-01-31
L001149,C01681,"$102,916.41",14.3,Charged Off,0,2023-03-29
L001135,C01194,49881.35,13.14,Open,0,2022-02-05
L001054,C01027,"66,764",7.0, Active ,1,2022-03-13
L001249,C01054,16385.57,11.97,Active,FALSE,2023-10-17
L000121,C01196,113400.04,6.46,Active,0,2023-12-07
L000064,1713,102722.68,12.01,Charged Off,TRUE,2022-02-02
L000682,C01395,48983.51,11.91,closed,0,2023-06-12
L000182,C01232,121597 USD,8.97,Closed,N,2023-08-30
L000410,C01836,79917 CAD,10.4,Active,0,2022-12-30
L000735,UNKNOWN,39798.7,10.51,Active,FALSE,2023-08-26
L000919,C01102,51586.38,9.82,Charged Off,0,2024-05-12
L000037,C01228,60181.6,2.57,Charged Off,1,2022-02-08
L000185,C01677,25565.71,10.62%,ACTIVE,0,2023-03-20
L000583,C01514,24220.84,10.22,Active,0,2022-01-04
L000160,C01602,121187.77,6.12,closed,0,2022-03-20
L000666,C01303,38893.54,10.36,Closed,0,2023-04-12
L000571,C01255,131780 CAD,10.25,Active,1,2024-01-26
L001152,C01631,66479 USD,2.2,Active,N,2023-01-21
L000217,C01617,10705.77,13.9,Active,1,2024-06-07
L001158,01581,66840.14,7.75,Closed,1,2024-05-03
L001172,C01238,95471.25,8.28,Active,0,2022-01-13
L000242,C01388,52203.44,11.22,Active,0,2022-08-03
L001070,C01763,"$91,626.91",7.27,Active,0,2023-02-06
L000201,C01532,41032.98,7.5,Active,0,2023-10-03
L000795,C01604,"23,325",9.4,Active,0,2022-04-07
L000211,C01410,8765.48,7.47,active,0,2023-05-06
L001036,C01660,"$161,828.13",12.9,Active,0,2022-06-08
L000456,C01358,51082.87,10.03,Active,0,2023-08-27
L000851,UNKNOWN,"$28,258.07",4.75, Active ,0,2022-03-25
L000321,C01458,"$48,846.69",8.51,Active,0,2022-02-16
L000322,C01668,44420.52,11.35, Active ,0,2024-04-10
L000609,C999106,"$14,211.34",4.7,Active,0,2024-04-16
L000419,C01371,34799.15,8.65,Active,Good,2024-03-21
L000546,C01488,66197 USD,7.2,Active,1,2023-05-20
L000011,C01127,53595.28,11.0,Active,0,2022-11-06
L000073,C01393,"100,729",6.80%,Active,0,2024-01-06
L001000, C01370 ,44713 CAD,12.36,Active,0,2023-11-10
L001222,C01258,44810 USD,8.29,Active,FALSE,2022-04-27
L000664,C01494,250000.0,14.55,Charged Off,0,2022-12-13
L000198,C01750,58914.57,4.22,Charged Off,1,2022-12-22
L000901,C01130,97519.46,6.67,Active,FALSE,2022-02-23
L000993,cust_01243,98652.61,8.56,Active,0,2022-06-24
L000765,C01706,"48,577",10.88%,Active,0,2022-08-03
L000855,C01774,173161.3,7.8,Closed,0,2023-07-08
L000796,C01380,167954.9,11.66,Written Off,1,2023-02-11
L001055,C01766,"$68,374.62",15.17,Closed,1,2022-01-03
L000239,C01271,105697.69,14.6,Charged Off,1,2024-04-11
L000446,C01325,85137.56,5.37,active,0,2023-10-12
L000185,C01677,25565.71,10.62%,ACTIVE,0,2023-03-20
L000044,C01597,49863.03,10.84,Active,0,2022-05-18
L000376,C01722,"76,979",11.28,active,Good,2022-06-19
L000050,C01446,54403.75,-3,Active,0,2023-01-12
L000831,C01271,42845.11,2.2,Paid Off,N,2022-02-24
L000620,C01335,"$55,929.28",5.1,Active,0,2023-05-18
L000528,C01591,30975 CAD,11.06,Active,FALSE,2024-01-20
L000134,C01332,107186.31,12.76,Closed,0,2023-01-21
L000881,C01194,51153 CAD,5.34,Active,0,2022-06-29
L000912,C01499,"$95,037.20",6.4,Closed,0,2022-09-01
L000562,C01625,406047.78,11.45,Active,1,2022-09-15
L000084,C01264,"72,630",9.45,Active,0,2023-08-17
L000488,C01292,52324.97,10.37,Active,0,2022-10-06
L000864,C01745,63516 CAD,9.78,Closed,0,2023-10-12
L000834,1638,24620.3,11.18,Written Off,1,2024-02-16
L001009,C01244,56748.94,8.96,Active,0,2023-12-20
L000006,C01435,97595.12,6.13,Active,0,2023-03-01
L001064,C01815,38290.02,5.23,closed,FALSE,2023-03-25
L000497,C01023,31541.38,9.02,Active,0,2024-06-14
L001238,C01641,52532.65,5.77,Closed,0,2022-12-01
L000684,C01245,26185.99,6.92,Charged Off,1,2024-05-06
L001142,C01779,136671.8,5.28,Closed,FALSE,2023-01-13
L000650,C01455,"$138,940.84",8.33,Active,0,2022-05-28
L000661,C01529,37914.4,unknown,Complete,0,2023-11-12
L001099,C01320,98732 CAD,10.11,Active,Good,2022-10-30
L000804,C01646,97044.8,9.59%,Active,0,2023-12-06
L001210,C01137,104329.87,2.74,Closed,N,2022-04-21
L000274,C01715,25346.4,13.98,Active,0,2023-02-15
L000405,C01245,89701 CAD,17.73,Active,No,2022-03-24
L000687,C01202,36013.81,9.25,Active,0,2024-06-13
L000473,C01165,"$80,416.61",6.91,Active,0,2023-04-29
L000836,C01126,76050.25,8.35,Closed,0,2023-12-31
L000325,C01486,143935.85,5.31,Active,No,2022-03-02
L001199,C01103,45633.71,11.59,Active,0,2022-02-18
L000385,1559,65076.63,6.87,Active,1,2022-06-14
L000093,C01067,29401.98,9.82,Closed,Good,2022-09-03
L000273,C01652,66112.62,12.29,Active,0,2022-04-05
L000867,C01552,"46,072",13.71,Active,0,2022-10-13
L000388,C01547,14997.65,4.71,Closed,0,2022-02-16
L000293,C01125,22888.69,9.47,Open,0,2023-09-27
L000243,C01575,73695.16,10.45,Closed,0,2022-04-18
L000312, C01415 ,269286.58,7.36,Active,0,2023-10-31
L000880,C01148,38657.65,7.17,Active,TRUE,2023-03-31
L000252,C01313,54438.48,9.65,Active,0,2022-01-07
L000454,cust_01417,"$31,876.52",9.21,Charged Off,0,2023-03-21
L001193,C01800,415327.03,10.83,Active,0,2024-02-15
L000886,C01112,109858 CAD,-1,Active,0,2024-03-30
L001131,C01207,59410 CAD,3.97,Active,0,2022-07-20
L000903,C01682,223380.74,14.38, Active ,0,2022-08-14
L000220,01314,101971.54,,Active,Good,2023-07-12
L000904,C01042,25194 CAD,13.19,Closed,0,2022-08-17
L000550,C01411,76658.58,250,Charged Off,0,2022-08-28
L001122,C01209,22062.23,5.19,active,0,2023-02-17
L000659,C01733,42519.04,5.63,Closed,0,2022-05-24
L000557,C01325,"$67,354.45",10.45,Active,0,2023-06-09
L000696,C01627,133060.17,7.77,Active,0,2022-03-04
L001093,C01402,51166.88,12.49,Charged Off,0,2023-06-12
L000478,C01662,242838.21,12.64,Closed,0,2022-05-30
L000191,C01133,46635.06,11.14,Active,N,2022-06-10
L000607,C01512,26804.43,9.23%,Active,1,2022-07-27
L000649,C01565,"$14,505.36",8.29,Active,FALSE,2023-11-11
L000358,C01619,34076.03,4.32,Closed,0,2022-08-12
L000592,C01848,35836.42,7.01,Active,N,2022-06-19
L000798,C01755,"250,000",6.82,ACTIVE,0,2022-07-11
L000752,C01609,86693 CAD,9.89,Active,1,2023-04-01
L000427,C01511,70559.38,9.66,Active,1,2023-10-31
L000563,C01079,10935.37,9.59,active,N,2023-06-13
L000681,C01378,45401.02,10.48,Open,0,2024-04-19
L000342,C01302,77610.62,8.17,Active,0,2022-07-10
L000468,C01253,-121433.66,7.8,Active,0,2023-10-04
L000040,C01722,46438.42,8.64,Active,0,2022-03-10
L000970,C01337,56501.41,6.37,Active,0,2022-07-29
L000227,C01843,75511 USD,6.56,Active,0,2022-06-02
L000068,C01367,120307.42,10.42,Active,0,2023-04-24
L000530,C01237,101890.35,11.81,Current,0,2023-01-18
L001230,C01500,25986.75,9.38,Active,0,2022-05-08
L000426,C01362,36990.99,8.41,Active,0,2023-07-02
L001120,C01317,57434.97,8.94,Active,0,2023-01-13
L001243,C01516,44247.98,14.68,Active,1,2023-11-13
L000654,C01745,87064.44,12.54,Charged Off,1,2023-06-14
L000298,C01584,19365 USD,7.95,Active,0,2022-01-04
L000464, C01447 ,33465.17,9.98,Active,0,2022-12-11
L000598,C01161,99623.54,14.61,CLOSED,0,2022-05-11
L000079,C01847,62384.68,10.73,Active,0,2022-04-29
L000098,C01439,37121.66,8.62,Current,0,2023-09-02
L000715,C01094,154510.33,12.85,Active,0,2024-05-05
L000339,C01362,"24,409",15.44,Active,FALSE,2024-04-28
L000214,C01540,41880.73,6.45,Closed,0,2024-04-04
L000897,C01404,98825.62,7.32,Active,0,2023-06-08
L001219,C01511,83778.0,12.81,Current,0,2022-10-24
L000300,C01112,112470.83,5.24,Active,0,2022-03-18
L000516,C01648,13423.44,11.43%,Charged Off,1,2024-03-27
L000816,C01124,86248.75,9.15,Closed,0,2023-06-07
L001187,C01517,111115.2,12.66,Active,0,2023-06-30
L000009,C01758,26728.79,6.85,Active,N,2023-04-08
L000438,C01048,33483 CAD,5.56,Active,0,2023-05-21
L000997,C01081,20933.41,16.15,Charged Off,0,2023-09-11
L001112,C01097,79008 USD,8.98,Active,0,2022-04-10
L001137,C01095,"73,728",7.8,Active,FALSE,2022-08-02
L000391,C01103,123570.22,11.36,Active,0,2023-05-30
L000941,C01670,82148.7,13.02,Closed,N,2024-01-07
L001234,C01718,82568.62,9.32,Charged Off,1,2023-09-29
L000710,C01592,97319.82,5.46%,Active,0,2022-02-07
L000449,C01070,"98,143",6.75,Active,0,2023-09-12
L000705,C01444,20119.71,5.45,Active,1,2023-05-05
L000305,C01098,43778.13,8.76,Closed,0,2022-12-10
