customer_id,age,income,province,employment_type
C01152,53,58519.53,british columbia,Full-time
C01142,43,41720 USD,British Columbia,PT
C01467,22,42056.82,Ontario,Full-time
C01243,68,52765 USD,Ontario,self-employed
C01741,26,116191.65,Quebec, full-time 
C01530,33,116564.73,ontario,Full-time
C-01775,29,81259.82,Alberta,Full-time
C01200,34,52778 USD,british columbia,Self-employed
C01475,67,65722.61,British Columbia,Full-time
C01453,53,"$48,754.14",Ontario,Contract
C01339,65,130484.86,Alberta,Unemployed
C01233,60,118803 CAD,Ontario,Full-time
C01019,66,78162.15,Quebec,Full-time
C01689,41,61620.06,Ontario,Full-time
 C01307 ,31,92419.52,ON,Full-time
C01752,33,"$51,450.59",Ontario,Unemployed
C01403,48,unknown,Ontario,Contract
C01275,56,"42,003",Québec,Full-time
C01212,38,54167 CAD,Quebec,Part-time
C01213,64,94237 CAD,Manitoba,Unemployed
C01779,25,117663.52,Ontario,Full-time
C01174,41,121855.15,Ontario,Part-time
C01040,64,"81,055",Manitoba,Self Employed
C01488,32,64342.01,alberta,Self-employed
C01204,34,35232 USD,Manitoba,Unemployed
C01219,,74598 USD,ontario,Full Time
C01168,35,32748.56,British Columbia,Full Time
C01556,43,"$120,967.24",British Columbia,Full-time
C01355,47,566377 CAD,Alberta,Self-employed
C01651,51,52210.23,ontario,Full-time
1282,26,"71,824",Ontario,Self-employed
C01003,72,"$101,332.48",Ontario,Contract
C01031,37,52381.91,Quebec,Full-time
C01536,48,37710.46,Ontario,Self-employed
C01254,36,82264.1,Alberta,Part-time
C01332,28,154246.57,Ontario,Part-time
C01657,30,97328.38,Quebec,Self employed 
C01369,32,66034 USD,Ontario,CONTRACT
C01304,66,35822.57,Quebec,Part-time
C01432,67,92117.72,British Columbia,Full-time
C01198,50,80902.26,Quebec,Contract
C01367,37,118880.84,Ontario,Full-time
C01316,-5,84483 CAD,Ontario,Full-time
C01673,75,66370.23,Ontario,Full-time
C01259,23,36834.1,Alberta,Self-employed
C01469,30,103455.98,AB,Unemployed
C01771,41,47203.14,B.C.,Full-time
C01799,31,78447.52,Ontario,Contract
cust_01221,,79996 CAD,Alberta,Full-time
C01786,74,42903.59,Alberta,Unemployed
C01524,26,29616 CAD,ON,Self-employed
01687,34,336202.8,QUEBEC,Full-time
C01599,72,23695 CAD,Ontario,part-time
01072,28,59611 USD,BC,Full-time
C01578,65,92318.38,MANITOBA,Full-time
C01061,47,"$94,925.37",British Columbia,Part-time
C01106,25,69075.48,Ontario, full-time 
C01119,56,114838.15,Ontario,Self-employed
C01583,60, 473872 ,Ontario,Part Time
C01550,67,85609.7,Manitoba,Full-time
C01486,59,127353 CAD,Ontario,Self-employed
 C01115 ,42,,Ontario,Full-time
C01077,69,unknown,Ontario,PT
C01361,72,56302.84,Ontario,Part-time
C01844,41,140462.21,Ontario,Part-time
C01084,61,65116.54,Ontario,Self-employed
C01793,62,115757.84,Alberta,Full-time
C01133,54,41680.24,Manitoba,Unemployed
C01109,24,124645 CAD,Ontario,Full-time
C01199,28,"$107,368.41",Quebec,Part-time
1083,47,50800.74,Ontario,Full-time
C01045,53,106226.39,Ont.,Contract
C01816,62,39307.15,BC,Self-employed
C01493,47,43118.84,Ont.,Self-employed
C01445,28,60344.08,British Columbia ,Full-time
C01783,70,"94,066",Ontario,Full-time
C01247,46,78128.61,Quebec,Full-time
1283,42,99453.99,British Columbia,Full-time
C01301,66,524264.25, Alberta ,Self-employed
C01114,57,73671 USD,Ontario,Contract
C01286,63,57871.49,Ontario,Contract
C01507,43,,QUEBEC,Unemployed
C01484,47,, Alberta ,Unemployed
C01375,61,65803.46,Alberta,Unemployed
C01401,44,"$93,767.38",Ontario,Full-time
C01165,47,106271 CAD,Quebec,Full-time
C01024,63, 88264 ,Quebec,Full-time
C01508,55,162389.68, Quebec ,Unemployed
C01824,63,,Ontario,Full-time
C01350,22,121398.71,manitoba,Full-time
C01492,69,83874.67,Ontario,Self-employed
C01428,23,50359.1,British Columbia,Full-time
C01568,21,"29,336",quebec,Contract
C01480,73,41616.62,Ontario,Full-time
C01412,60,49609.41,Ontario,Full-time
C01331,75,113702.33,British Columbia ,Self-employed
cust_01337,68,87744.62,Ontario,Full-time
C01500,45,58042.8,Ontario,Full-time
01634,23,33482.74,Quebec,Self Employed
C01753,49,"$95,681.68",Ontario,Unemployed
C01175,34,69942.3,Quebec,Self-employed
C01487,58,"84,576",Quebec,Full-time
C01450,35,80267 CAD,Ontario,Part-time
C01244,43, 75303 ,Ontario, full-time 
C01322,67,26822.34,Ontario,Part-time
C01617,42,41755.39,Ontario,Full-time
1185,22,79458.79,british columbia,Self-employed
01648,46,"24,243",Ont.,Full-time
C01777,34,"117,298",British Columbia,Full-time
C01459,72,77983.22,Ontario,Part-time
C01674,49,70544.04,British Columbia,Full-time
C01416,71,48422 CAD,Ontario,Full-time
C01769,47,"$53,022.57",Ontario,Full Time
C01426,63,100116 USD,ONTARIO,Full-time
C01667,58,56092.47,Ontario,Full Time
C01188,,44758.52,Quebec,Full-time
C01148,41,58736.19,Quebec,Full-time
cust_01163,29,"$146,667.07",Alberta,Full-time
cust_01835,42,76837.68,British Columbia,Part-time
C01030,38,43501.52, Quebec ,Self-employed
C01314,47,176864.9,Ontario,SELF
C01193,48,129595.85,Ont.,Self-employed
 C01166 ,66,"$82,763.67",Ontario,Unemployed
C01531,22,"93,325",British Columbia,Self-employed
C01790,73,,British Columbia,Unemployed
C01745,34,64290.06,Quebec,Part-time
C01144,32,"168,889",Ontario,Full-time
C01622,41,35337 CAD,Manitoba,Full-time
C01410,41,38510.59,QUEBEC,Full-time
C-01091,75,59851.71,British Columbia,Self-employed
C01560,53,82907.22,Ontario,FT
C01815,73,103440.27,Alberta,Full-time
C01499,25,97738.99,Ontario,Part-time
C01440,59,97992.93,Ontario,Full-time
C01843,25,67352.22,alberta,Full-time
C01385,53,84063.86,Quebec,Full-time
C01378,57,69119.87,Quebec,Full-time
C-01803,37,88140.17, Ontario ,Contractor
C01015,53,39574.04,Ont.,Unemployed
C01093,47,38959.9,British Columbia,Self-employed
C01772,43,nan,Ontario,Full-time
C01195,21,"$118,155.50",quebec,Full-time
C01063,66,51395.17,Ontario,Full-time
C01818,56,148032.1,British Columbia,Full-time
C01570,64,42316 USD,Ontario,Full-time
C01711,64,59374.13,Québec,Full-time
C01161,56,80030 USD,Ontario, full-time 
C01359,33,"122,762",QC,Contract
C-01810,27,"104,261",Ont.,Part-time
C01627,38,"186,700",British Columbia,Full-time
C01685,49,106880.66,British Columbia,full-time
C01510,59,34455 CAD,British Columbia,Full-time
C01027,29,46574.32, Ontario ,FT
C01009,31,"$67,954.25",Alberta,Self-employed
C01496,37,"91,172",Ontario,Full-time
C01223,42,"$40,278.59",Ontario,Self-employed
C01618,unknown,unknown,Quebec,Unemployed
C01641,69,48108.13,Manitoba,Self-employed
C01716,60,"37,721",Ontario,Self-employed
C01758,68,42230 USD,Ontario,Self Employed
C01748,65,124263.15,Ontario,Self-employed
1393,26,79051.23,British Columbia,Self-employed
cust_01154,58,65505.2,Quebec,Full-time
C01382,21,187087.2,Alberta,full-time
C01399,28,68291 USD,Ontario,Full-time
C01101,121,"66,199",Ontario,Part-time
C01438,52,68072.2,Manitoba,Full-time
C01757,68,32467 USD,MANITOBA,Self-employed
C01821,47,126884.75, Alberta ,Part-time
C01389,60,86886.54,Quebec,self-employed
C01683,45,53849.39,British Columbia,Full-time
C01145,22,56963.29,Quebec,Full-time
C01521,33,"50,494",quebec, full-time 
 C01608 ,69,"161,265",ALBERTA,Self-employed
C01380,70,149070.35,Ontario,unemployed
C01125,43,"$78,881.42",Ontario,Part-time
C01248,30,"72,064",ontario,Full-time
C01485,35,63881.53,Quebec,Contract
C01423,25,127783.71,Alberta,Full-time
01196,72,"$92,371.21",Ontario,Full-time
C01284,74,94934.86,Alberta,Full-time
C01338,22,175754.49,Ontario,Full-time
C01834,40,51913.22,Quebec,Self-employed
C01444,63,83000.58, Ontario ,Full-time
1409,57,57494 CAD,ontario,Full-time
C01231,32,66666.24,Quebec, full-time 
C01655,N/A,83230.52,British Columbia ,Contract
C01411,65,83522.8,Quebec,Full-time
C01208,72,106033.66,Ontario,Full-time
C01062,75,"$64,436.72",Quebec,Full-time
C01732,38, 116208 ,Alberta,Full-time
C01206,36,42154.52,British Columbia,Full-time
C01504,25,49367 USD,Alberta,Full-time
C01603,25,68445.28, Ontario ,Full-time
C01397,47,76281 CAD,Alberta,Part-time
C01112,46,110381.58,Quebec,Full-time
C01586,51,86726 USD,British Columbia,Full-time
C01820,31,143214.47,Quebec,Contract
C01739,68,156478.6,Quebec,Full-time
01785,73,59152.18,British Columbia ,Contract
C01518,65,"72,921",Ontario,Self-employed
C01025,67,57690.46,Quebec,Part-time
C01626,50,82007 CAD,Manitoba,Full-time
C01630,23,30910.48,Alberta,PT
C-01825,27,60914.87,Ontario,Full-time
C01330,56,155156.07,British Columbia ,Full-time
C01546,23,55781.43,Quebec,Self-employed
C01712,42,99913 CAD,Quebec,Full-time
1405,56,32419.77,ON,Contract
C01528,65,66838.47,Ontario,Full-time
C01735,72,120991.85,Ontario,Self-employed
C01533,36,129436.21,Ontario,Self-employed
C01520,56,38020.17,alberta,full-time
C01425,36,52466.32,Quebec,UNEMPLOYED
C01623,44,67310.44,British Columbia,Part-time
C01720,49,54393.04,Ontario,Full-time
C01305,63,"55,528",British Columbia ,Self employed 
C01406,54,54747.73,Ont.,Part-time
C01372,40,34351.04,Ontario,Contract
C01326,58,124922 CAD,quebec,Full-time
C01155,31,56906.77,Alberta,Unemployed
cust_01209,25,87533.24,QC,Contract
C01158,24,90578.06,Manitoba,Self-employed
C01814,37,,Ontario,Full-time
C01429,28,67699.76,British Columbia,Full-time
C01127,25,102175.36,British Columbia,Part-time
C01541,70, 110737 ,Quebec,Part-time
C01696,56,"79,627",Quebec,Part-time
C01131,37,115242.8,Ontario,Full-time
C01784,25,"53,757",Ontario,UNEMPLOYED
C01808,53,n/a,Quebec,Full Time
C01037,53,24971.75,ontario,Self-employed
C01201,69,66103.74,Ontario,Contract
C01688,58,53659.52,B.C.,Part-time
C01156,26,83936.42,Ontario,Full-time
C01842,34,88957 USD, Ontario ,Self-employed
C01079,42,"31,208",Quebec,Part Time
C01182,61,58438.38,Ontario,Full-time
C01774,42,134815 CAD,Ontario,Part-time
C01197,52,"49,134", Quebec ,Self-employed
C01695,49,45248.02,Ontario,full-time
C01178,73,98728.9,Ontario,full-time
C01237,71,66662.9,Québec,Full-time
C01032,26,74651.67,ontario,Full-time
C01060,24,49340.48,B.C.,Self-employed
C01126,51,128506.96,Quebec,Full-time
C01723,36,51403.26,British Columbia,Full-time
C01022,50,60968.13,Ontario,Unemployed
C01724,64,64278.25,British Columbia,Part-time
C01796,27,"$33,427.64",Ontario,Full-time
C01226,70,73678.44,Ont.,Contract
C01787,41, 164425 ,QUEBEC, full-time 
C01523,33,68109 USD,Ontario,Part-time
C01553,75,"109,558",Manitoba,contract
C01557,57,69346.06,British Columbia,CONTRACT
C01684,48,134476.58,British Columbia,SELF
1421,65,70701.56, Quebec ,Part-time
C01569,62,45642 CAD,Ontario,Contract
1594,21,66157.96,British Columbia,Contract
C01669,64,91272.57,Alberta,contract
C01368,47,68974.37,Ont.,Full-time
C01575,48,59673.31,Ontario,Full-time
C01100,60,87845 USD,Ontario,Self-employed
C01085,74,33805.66,QUEBEC,Part-time
01497,24,46192 USD,ON,Part-time
C-01054,66,51953.25,Alberta,Part-time
C01452,22,26839.69,Quebec,Part-time
C01656,43,52703 CAD,Alberta,Part-time
 C01737 ,72,unknown,Quebec,Self employed 
C01448,75,,Quebec,unemployed
C01328,46,480851.77,Alberta,Self Employed
C01561,70,69488 USD,Alberta,Part-time
C01116,25,67187 CAD,Quebec,Full-time
C01256,50,20723 USD,Ont.,Full-time
C01129,60,49658 CAD,Ontario,Self-employed
1415,22,nan,British Columbia,Full-time
C01682,37,"$151,408.56",Ontario,Part-time
C01323,33,,british columbia,Full-time
C01500,45,58042.8,Ontario,Full-time
C01123,42,62429 CAD,Ontario,Full-time
 C01281 ,74,74779.54,Quebec,Self-employed
C01514,121,51692.42,Ontario,Full-time
C01087,30,81218.08,Ontario,Full-time
C01051,N/A,95392.83,Quebec,Self-employed
C01534,30,178537 CAD,Québec,Full-time
C01819,31,,Quebec,Self-employed
C01134,39,81662.86,MANITOBA,Contractor
C01194,73,41406.9,British Columbia,PT
C01462,51,"61,992",Quebec,Full-time
C01571,35,95293.03,ALBERTA,Full-time
1574,57,41048.16,Ontario,Self-employed
C01554,28,"$76,138.34",Ont.,Unemployed
C01644,45,50476.76,Alberta,Full-time
C01849,53,516974.03,Ontario,Self-employed
C01205,58,65205.91,ontario,UNEMPLOYED
C01043,72,87314.74,Ont.,Full-time
C01387,66, 86217 ,British Columbia,Full-time
C01473,68,90574 CAD,Alberta,Full-time
C01187,73,98585.19,Ontario,Full-time
C01806,21,34546.37,Alberta,full-time
C01740,68,"62,048",Manitoba,Unemployed
C01649,42,176967.1,Ontario,Full-time
C01073,37,85083 CAD,Ontario,Full-time
01611,72,76111.65,Quebec,Full-time
C01002,60,52086.45,Manitoba,Full-time
C01240,63,118799.49,Alberta,Full-time
C01638,70,67211.53,British Columbia,Full-time
C01632,43,134083.84,Ontario,Part-time
C01176,34,49940.62,Quebec,Full Time
C01055,45,61540 USD,Quebec,self-employed
C01192,73,129594.68,Ontario,Contract
 C01543 ,49,"$87,731.74",QC,Part-time
C01088,44,50932.46,Quebec,Full-time
C01582,21,"$58,041.36", Ontario ,Full-time
C01279,50,"69,852",Quebec,Full-time
C01081,55,29189.92,ontario,Self-employed
C01427,57,58138.57,Ontario,Self-employed
C01567,40,39511.04,AB,contract
C01519,57,80824.32,British Columbia,Self-employed
C01056,48,75491.85,Ontario,Full-time
C01363,52,179880.75,Manitoba,Contract
C01778,64,"54,174",Ontario,Full-time
C01222,70,95384.39,Quebec,Full-time
C01016,63,86453.55,Quebec,Full-time
C01782,23,"33,449",Quebec,Part-time
C01225,61,"125,773",British Columbia,full-time
C01190,73,114068.88,Ontario,Full-time
C01313,42,61652.2,Alberta,Contract
1311,29,"84,127",AB,Full-time
C01676,45,64058 USD,Quebec,Contract
C01754,68,"$138,404.44", Alberta ,Full-time
C01669,64,91272.57,Alberta,contract
C01100,60,87845 USD,Ontario,Self-employed
C01804,74,120489 CAD,Quebec,Full-time
C01713,54,"$109,060.32",QC,PT
C01169,75,74559 CAD,British Columbia,Full-time
1424,74,113666.67,ontario,full-time
C01038,44,127397.99,Ontario,Part-time
C01287,38,132872.63,QC,Full-time
C01376,54,,ON,Contract
C01215,25,93609 USD,Alberta, full-time 
C01262,62,"70,129",Ontario,Full-time
C01671,75,67783.02,Ontario,Full-time
C01139,54,66281.84,Ontario,Full-time
C01597,38,29830 USD,ALBERTA,FT
01759,64,59322 CAD,Quebec,part-time
C01241,63,63009.12,QUEBEC,Full-time
C01291,45,30522.1,British Columbia,Full-time
1137,22,66204.98,Ontario,Full-time
C01540,57,,Ontario,Self-employed
C01245,21,76101 CAD,Manitoba,Full-time
C01358,51,"$35,739.33",Ontario,Part-time
C01120,48,170013.45,Ont.,Full-time
C01042,39,48107.93,Quebec,Contract
C01004,63,77018.02,QUEBEC,Full-time
 C01035 ,26,"$99,935.44",Quebec,Part-time
C01236,68,118187.72,British Columbia,Full-time
C01103,46,77894.59,Ontario,Unemployed
C01794,47, 22000 ,Quebec,Full-time
cust_01466,60,nan,Quebec,Contract
C01729,60,100019 CAD,ON,Part-time
C01110,73,65533.37,Ontario,Full-time
C01805,,117538.83,British Columbia,Part-time
C01348,25,52350.94,Quebec,Self-employed
C01612,59,46505.25, Alberta ,Self employed 
1591,75,46079.14,ONTARIO,Unemployed
C-01184,49,116673.48,British Columbia,Full-time
C01613,74,,Quebec,Full-time
01290,72,"$36,071.18",Quebec,Full-time
C01719,62,88491.91,Quebec,Full-time
C01097,34,"$82,918.69", Quebec ,Full-time
C01709,40,"$30,801.12",Ontario,Contract
C01797,39,55413.01,Ontario,Full-time
C01255,50,84325.23,Alberta,Part-time
C01272,36,83722.87,Ontario,Self-employed
C01128,70,81065 CAD,Ontario,Full-time
01765,38,n/a,Alberta,Self-employed
C01722,50,"57,688",Alberta,Full-time
C01146,28,49694.44,Alberta,Part-time
C01714,59,nan,Quebec,Full-time
C01616,57,59446.42,Ontario,Full-time
C01386,53,51036.96,Quebec,Contract
C01257,67,59879.15,Quebec,Full-time
C01274,121,149354.46,ON,Full-time
C01540,57,,Ontario,Self-employed
C01490,67,"$536,283.69",Ontario,Self-employed
C01092,17,93976.43,ontario,FT
C01562,52,156445.22,quebec,Full-time
C01364,46,52492.39,Quebec,Contract
C01747,49,34038 USD,Alberta,Contract
C01008,68,86137.4,Ontario, full-time 
C01555,30,61294.73,Alberta,Full-time
C01388,75,63351.37, Alberta ,Self-employed
C01182,61,58438.38,Ontario,Full-time
C01811,30,35338.63,ONTARIO,Full-time
C01211,64,63343.28,Quebec,Full-time
C01764,N/A,66124 USD,Québec,Full-time
C01266,54,"$47,042.78",Ontario,SELF
C01610,64,"$33,807.80",Ont.,Full-time
C01251,41,77760 CAD,Ontario,Full-time
01598,36,65350.24,Ontario,Full Time
C01422,42,71271.61,Ont.,Full-time
C01768,24,32355.3,ontario,Self-employed
C01670,29,52806 USD,Quebec, full-time 
C01646,66,104048.96,ON,Full-time
C01584,59,44477.31,Quebec,Full Time
C01191,60,"$64,823.92",Alberta,FT
C01324,37,72866.66,Quebec,Contract
C01150,23,87299.37, Alberta ,full-time
C01850,24,unknown,Ontario, full-time 
C01141,57,n/a,alberta,Part-time
C01697,40,157902.31,Alberta,Full-time
C01704,22,"582,403",Quebec,Self-employed
C01065,25,62643 CAD,British Columbia,Full Time
C01755,70,260000.0, Manitoba ,Part-time
C01449,66,83432.41,QC,FT
C01662,56,152937.66,Ontario,Part-time
C01383,28,40192 USD,quebec,Unemployed
C01159,40,83925.98,ALBERTA,Full-time
C01819,31,,Quebec,Self-employed
C01400,24,87552.83,Ontario,Full-time
C01012,69,"$135,071.38",Alberta,Self-employed
C01013,49,"40,247",ONTARIO,Self-employed
C01046,70,35007 CAD,Ontario,Contract
C01742,52,124491.67,British Columbia,Full-time
C01529,49,"$47,535.61",Ontario,Full-time
01356,38,32368.03,Ontario,Contract
C01041,34,"$78,878.59",QC,Part-time
 C01766 ,53,"$57,125.66",ONTARIO,Part Time
C01525,58,"$92,108.42",Quebec,Unemployed
C01345,63,108350.75,Quebec,Full-time
C01773,35,"$82,603.06",QC,full-time
C01288,24,51732.78,Ont.,Self-employed
C01461,51,"$134,742.32",Quebec,Full-time
01235,56,34330.11,Ontario,Part Time
C01107,38,30127 USD,Alberta, full-time 
C01832,35,61013 CAD,Ontario,Self-employed
C01588,62,77854 CAD,Manitoba,Part-time
C01604,23,123956.25,QC,Part-time
C01344,28,"$65,462.94",ontario,Full-time
C01036,30,58380.26,Ontario,Full-time
C01600,21,110147 CAD, Manitoba ,Full-time
C01503,26,unknown,Alberta,Full-time
C01384,24,72873 CAD,British Columbia,Part-time
C01157,24,51305 USD,Ontario,Full-time
C01151,23,nan,British Columbia,Full-time
C01132,52,"81,964",Alberta,Full-time
C01726,65,unknown,Alberta,Full-time
C01658,58,50279.27,Quebec,Contract
C01321,121,192220.36,Quebec,Full-time
C01214,150,131080.04,British Columbia,Contract
C01011,32,"$76,323.65",Ont.,Self-employed
C01277,39,60021.35,Quebec,Self-employed
C01807,30,583041.49,Alberta,Self-employed
C01751,68, 77554 ,ON,Contract
C01839,38,"76,359",Quebec,Full-time
C01108,72,107244.43, Ontario ,Full-time
C01315,23,"55,928",Québec,Part-time
C01826,46,73584.72,Ont.,Contract
C01563,49,"$179,637.53",Ontario,Full-time
C01770,62,166166.91,Quebec,Unemployed
C01642,63,,Quebec,Unemployed
C01346,42,"62,262",Alberta, full-time 
 C01347 ,25,30825.53,British Columbia,Full-time
01454,42,86660.57,Alberta,Full-time
C01095,45,,Alberta,Full-time
C01620,27,71053.4,Alberta,Unemployed
C01703,44,"106,348",B.C.,FT
C01476,73,61458 USD,ontario,Self-employed
C01579,71,47935.32,Alberta,Full-time
C01589,23,61530.99,ontario,Part-time
C01628,65,145720.95,Ontario,Self-employed
C01537,21,109062.47, Alberta ,Full-time
C01407,24,"$61,463.30",Ontario,Full-time
C01404,34,135938.88,Ontario,Full-time
C01691,54,77790.86,Ontario,Unemployed
cust_01064,61,58318.18,Alberta,Full-time
C01082,75,80969.14,British Columbia,Full-time
C01319,28,"$138,999.77",British Columbia,Unemployed
C01733,59,63701.24,ON,Contractor
C01573,55,43596.01,Ontario,Full-time
C01171,26,"54,403",Ontario,Full-time
C01278,49,105147.2,Ontario,Full-time
C01577,43,79180.61,Alberta,Full-time
C01551,39,60370.41,Quebec,Full-time
C01374,63,78500.3,British Columbia,Contract
C01756,35,221628.07,Quebec,Unemployed
C01792,69,53709.41,British Columbia ,Full-time
C01587,22,,Ontario,FT
C01249,29,"$128,440.16",Quebec,Part-time
C01300,58,114634.19,Ontario,Part-time
C01303,36,37483.75,Ontario,Full-time
C01809,62,"30,424",British Columbia,Full-time
C01559,29,114943.03,Ontario,No job
1494,72,"204,096",Ontario,Full-time
C01005,26,,Ont.,Full-time
C01565,29,48721.42,Ontario,Part-time
C01489,57,59880 USD,British Columbia,Full-time
C01512,30,75965.39,British Columbia,Self-employed
C01639,37,65062.89,Quebec,Full-time
1545,,nan,British Columbia,Full-time
C01768,24,32355.3,ontario,Self-employed
C01220,41,87924.35,Ontario,Full-time
C01138,40,79347.79,Ontario,Self-employed
C01780,26,,Alberta,Self-employed
C01798,45,60053.76,British Columbia,Full-time
C01047,70,"$40,546.27",ALBERTA,CONTRACT
C01665,43,54144.44,Ontario,Full-time
C01498,69,64449.52,British Columbia,SELF
C01351,38,101518.38,BC,PT
C01556,43,"$120,967.24",British Columbia,Full-time
C01395,72,89634 CAD,British Columbia,Part-time
C01437,45,257502.04,Ontario,Contract
C01566,23,75562.7,British Columbia,Full-time
C01465,51,60712 CAD,Quebec,Self-employed
C01456,68,93202.69,Ontario, full-time 
C01342,67,126063.44,Quebec,Self-employed
C01181,43,62950 CAD, Ontario ,Self-employed
C01517,24,83409.27,Quebec,Self-employed
C01839,38,"76,359",Quebec,Full-time
C01717,35,59810.82,Alberta,Unemployed
C01327,71,98128.16,Ontario,Unemployed
C01066,47,42519 USD,ontario,Full Time
C01699,50,64851.44,British Columbia,full-time
C01170,29,84251.56,Ontario,Full-time
C01652,unknown,46655.83,British Columbia,Full-time
C01371,50,62723.89,British Columbia ,Full-time
C01010,57, 78887 ,alberta,Full-time
C01663,59,109840.03,ON,No job
C01539,38,121451.04,Ontario,Unemployed
C01179,51,"$62,120.78",Ontario,Self-employed
1791,23,48806.41,ON,Part-time
C01812,27,"$40,601.42",AB,Part-time
C01164,0,116163.47,Manitoba,Full-time
C01590,46,125394.78,Ontario,Contract
C01827,43,65801 CAD,Ontario,Part-time
C01532,61,44738.23,Ontario,Full-time
C01218,32,176183.82,Ontario,Full-time
C01664,44,87346.25, Manitoba ,Contractor
C01592,65,"$95,782.50",Ontario,Self-employed
C01715,51,"42,954",Ontario,Part-time
C01802,53,85470.49,British Columbia,Self-employed
C01094,22,113573.58,British Columbia,Contractor
C01309,59,145595.41,Ontario,Full-time
