payment_id,loan_id,payment_amount,payment_date
PMT0001908,L000474,4245.84,2024-02-11
PMT0003432,L000856,"$7,290.58",2024-09-07
PMT0003093,L000777,17322.43,2025-03-31
PMT0001809,L000452,9791.23,2024-05-19
PMT0003360,L000841,13808.79,2022-03-17
PMT0000287,L000068,21628.86,2024-02-04
PMT0000399,L000100,2833.2,2024-03-31
PMT0001776,L000445,1171.87,2023-12-25
PMT0002427,L000607,1617.08,2023-11-12
PMT0000999,L000250,2115.58,2025-11-09
PMT0003472,L000865,14282.65,2024-05-24
PMT0000590,L000142,,2025-12-04
PMT0003039,L000760,30138.36,2024-03-17
PMT0000049,L000010,7733.08,2023-12-27
PMT0004944,L001239,7124.19,2023-04-08
PMT0003427,L000855,23297.93,2025-02-20
PMT0002237,L000559,4185.62,2024-01-07
PMT0000180,L000045,5892.68,2023-05-06
PMT0001793,L000448,23984.52,2024-05-16
PMT0004327, L001078 ,"8,930",
PMT0002935,L000731,"$13,316.04",2022-11-24
PMT0000457,L000113,14795.99,2024-05-10
PMT0004418,L001102,11239.56,03/21/2026
PMT0003116,L000782,5651.74,2023-08-05
PMT0003678,L000914,12133.04,2024-01-28
PMT0001959,L000487,"5,140",2025-03-24
PMT0001887,L000469,10790.46,2024-03-02
PMT0001233,L000311,3002.06,2024-07-21
PMT0003168,L000794,4929.51,2022-11-16
PMT0004528, L001132 ,621.63,2025-04-09
PMT0003958,L000987,7163.19,2024-09-02
PMT0004706,L001179,4017.0,2025-02-15
PMT0003592,L000894,5303.47,2024-04-30
PMT0004175,L001037,557.77,2023-06-17
PMT0002068,L000514,"11,085",2025-02-21
PMT0003722,L000926,6687.9,2023-03-24
PMT0001252,L000315,62058.51,2024-07-20
PMT0004160,L001033,12820.83,2024-03-04
PMT0001999,L000496,22588.71,2024-01-12
PMT0001427,L000355,11292.17,2023-11-18
PMT0002676,L000664,12562.32,2023-03-17
PMT0001545,L000384,5811.05,2024-11-24
PMT0002803,L000697,25762 CAD,2025-08-26
PMT0001348,L000335,4432.8,2024-06-12
PMT0000344,L000087,6307.68,2024-01-23
PMT0001234,L000311,3242.53,2024-04-11
PMT0000162,L000040,4278 CAD,2024-02-14
PMT0003732,L000928,4527.77,2025-03-03
PMT0000555,L000132,10606.43,2023-07-24
PMT0001060, L000265 ,6800.17,2024-08-22
PMT0000084,L000022,4673.15,2024-04-05
PMT0001029,L000257,1982.02,2025-04-30
PMT0004064,L001010,1356.16,2025-09-22
PMT0000553,L000132,10373.77,2024-06-02
PMT0001525,L000378,5867.18,2024-03-21
PMT0002934,L000731,11055.76,2022-06-05
PMT0003117,L000782,7507.44,2023-05-13
PMT0002959,L000737,"2,894",2024-07-17
PMT0001458,L000362,"$2,777.21",2022-03-21
PMT0000829,L000209,4710.7,2024-09-10
PMT0002501,L000625,4733.65,2023-03-17
PMT0000284,L000067,10442.59,2025-11-29
PMT0004601,L001150,13087.41,2024-01-19
PMT0001143,L000290,7901.53,2023-11-18
PMT0001526,L000379,9625.64,2023-07-23
PMT0001886, L000469 ,8999.42,2023-04-20
PMT0002746,L000680,9390 CAD,2025-10-20
PMT0000952,L000240,-13025.74,2023-04-25
PMT0002849,L000707,16119.36,02/15/2024
PMT0003555,L000885,4883.76,2025-07-11
PMT0001563,L000388,4223.12,2022-04-14
PMT0004314,L001075,13141.51,2025-02-25
PMT0003173,L000795,742.56,2023-07-25
PMT0002721,L000674,4010.8,2023-09-04
PMT0003615,L000899,36089.29,2022-07-16
PMT0000454,L000113,8891.32,2025-04-23
PMT0000851,L000216,3159.55,2024-05-09
PMT0000746,L000188,10137.78,2024-03-17
PMT0003529,L000879,3038.49,2023-06-11
PMT0001434,L000356,12545.62,2024-12-02
PMT0001968, L000490 ,7396.88,2025-03-30
PMT0000796,L000197,10145.02,2024-07-12
PMT0003683,L000915,5641.21,2024-11-11
PMT0002543, L000633 ,2406.96,2023-11-01
PMT0001005,L000252,5309.9,2022-10-12
PMT0000151,L000037,4374.91,2023-02-16
PMT0004812, L001204 ,3412.9,2025-05-03
PMT0002494,L000623,6116 CAD,2024-05-31
PMT0000291,L000069,10117.95,2023-05-16
PMT0003737,L000929,5440.27,2022-11-18
PMT0001530,L000380,1139.89,2023-04-24
PMT0004603,L001150,5107.7,2023-10-24
PMT0004892,L001224,4569.23,2024-05-31
PMT0003208,L000803,6561.78,2024-07-31
PMT0000537,L000129,6641.38,2023-02-30
PMT0000006,L000002,1113.81,2023-07-29
PMT0000965,L000242,4373.72,2023-03-21
PMT0003373,L000844,4498.92,2023-06-23
PMT0000211,L000052,6458.21,2026-01-15
PMT0002508,L000627,2701.38,2024-07-05
PMT0000610,L000146,7481.75,2024-08-05
PMT0000788,L000196,5643.69,2024-08-11
PMT0002785,L000694,3058.95,2024-10-28
PMT0000070,L000016,4169.3,2023-05-22
PMT0003398, L000850 ,3007 CAD,2025-03-22
PMT0000378,L000095,9822.94,2023-10-11
PMT0001680, L000421 ,14545.72,2023-04-06
PMT0000531,L000128,8026.72,2024-03-10
PMT0000873,L000221,25181.77,2024-11-21
PMT0004419,L001102,"$5,575.41",2025-10-14
PMT0002901,L000723,63805.43,2025-07-01
PMT0003098,L000778,4130.42,2024-12-05
PMT0003547,L000883,58556.07,28-Apr-2024
PMT0002204, L000552 ,8000.18,2023-07-26
PMT0000429,L000106,5247.79,2023-01-12
PMT0003974,L000990,22782.1,2024-06-20
PMT0004926,L001235,4628 CAD,2025-03-13
PMT0002370,L000595,3845.71,2023-09-02
PMT0002088, L000520 ,-5608.32,2023-04-30
PMT0003843,L000955,8680.0,2025-02-02
PMT0004896,L001228,13945.69,2024-09-26
PMT0004816,L001205,11507.97,2023-08-27
PMT0000420,L000104,80580.2,2023-06-16
PMT0001636,L000410,14499.96,2024-03-04
PMT0004331,L001079,23059.23,2022-12-29
PMT0001949,L000485,30299.46,2023-10-11
PMT0004591, L001148 ,-16316.64,2025-04-01
PMT0004551,L001137,13804.4,2023-06-13
PMT0000030,L000006,9946.81,2025-02-01
PMT0004684,L001173,"6,444",2024-09-21
PMT0000801,L000199,20386.66,2024-05-08
PMT0003509, L000875 ,12060.64,2024-01-01
PMT0001653,L000415,9994.4,2024-11-09
PMT0000058,L000013,4092.47,2023-05-26
PMT0001184,L000300,"12,770",2024-01-17
PMT0002194,L000549,2202.26,2024-10-28
PMT0000387,L000097,40969.94,2023-06-22
PMT0003171,L000794,4968.0,2022-10-06
PMT0003581,L000890,4293.17,2023-10-23
PMT0003191,L000798,7943.75,2023-05-26
PMT0000731, L000186 ,9974.79,2023-01-16
PMT0002738,L000679,20100.46,2023-07-31
PMT0001346,L000335,"$4,603.25",2025-02-11
PMT0001217,L000308,19702.13,2023-10-03
PMT0000957,L000241,4249.88,2024-01-02
PMT0001965,L000489,11076.78,2023-06-05
PMT0003941,L000982,10815.18,2025-07-18
PMT0003824,L000951,3302.17,2025-01-17
PMT0003523,L000878,7303.86,2023-10-02
PMT0001400,L000348,35697.32,2024-11-28
PMT0002784,L000694,2569.68,2024-11-13
PMT0001919,L000477,5753.93,2022-03-18
PMT0003695,L000919,2582.63,2025-07-20
PMT0001197,L000304,6969.28,2025-05-14
PMT0003488,L000870,4770.19,2024-05-03
PMT0003348,L000838,14863.32,2023-04-07
PMT0001857,L000463,2719.21,2024-03-22
PMT0003079,L000774,"28,116",2024-10-08
PMT0002300,L000577,6785.57,2024-11-08
PMT0002793,L000695,14316.16,06/13/2025
PMT0003861,L000959,17646.27,2024-09-17
PMT0001398,L000347,71902.19,2024-07-02
PMT0001799,L000450,20682.83,2025-03-28
PMT0001469,L000364,15689.48,2025-02-05
PMT0004262,L001061,6188.56,2022-09-29
PMT0003458,L000862,3703.57,2022-12-28
PMT0001140,L000289,4764.13,2024-06-13
PMT0003657,L000909,5997.91,2023-10-21
PMT0002496,L000623,2928.08,2023-04-20
PMT0002653,L000660,11326.52,2023-03-17
PMT0001141,L000290,9071.45,2025-05-02
PMT0003369,L000843,10930.95,2024-08-19
PMT0001220,L000309,77479.6,2025-01-29
PMT0001791,L000448,30042.31,2024-11-17
PMT0004294,L001069,17190.49,2025-05-05
PMT0003236,L000808,23565.45,2024-12-29
PMT0004145,L001029,1669.83,2024-05-21
PMT0002260,L000565,1733.11,2024-06-08
PMT0002394,L000598,12446.38,2022-06-25
PMT0002506,L000626,83753.41,2025-06-06
PMT0000311,L000077,357945.88,2023-09-04
PMT0003047,L000764,"$9,084.17",2025-04-05
PMT0000495,L000121,22967.18,04/13/2025
PMT0001855,L000463,-4215.2,2024-01-12
PMT0000408,L000101,6942.88,2023-02-05
PMT0003145,L000789,15244.12,2023-06-22
PMT0004047,L001008,2927.72,2023-06-16
PMT0000281,L000067,7586.41,2024-06-12
PMT0004971,L001246,3508.18,2023-10-29
PMT0000035,L000007,1839.53,2024-12-19
PMT0000663,L000163,14241.47,2025-01-02
PMT0000544,L000130,"$6,369.73",2025-02-25
PMT0003084,L000775,16876.81,2022-10-04
PMT0002126,L000529,71850.26,2023-05-01
PMT0002861,L000711,2740.23,2024-10-22
PMT0000085,L000022,13049.61,2024-09-15
PMT0004954,L001243,-11115.69,2025-06-03
PMT0004794,L001200,2234.46,2023-07-13
PMT0004401,L001095,6500.26,2024-03-10
PMT0000228,L000056,2261.28,2023-10-10
PMT0003217,L000804,5594.33,2024-11-15
PMT0002397,L000600,"$2,155.08",2023-10-20
PMT0000305,L000076,11607.74,2024-09-27
PMT0004245,L001054,11222.49,2023-02-15
PMT0004069,L001012,6404.61,2024-09-26
PMT0002715,L000673,4735.49,2022-05-15
PMT0004668,L001168,6318.7,2026-02-14
PMT0000697,L000174,82881.75,2024-06-14
PMT0000032,L000007,1783.49,2025-01-13
PMT0004629,L001157,4803.22,2023-07-06
PMT0002412, L000603 ,6203.73,2024-02-22
PMT0004214,L001047,1715.61,2024-09-19
PMT0001092,L000275,946.78,2024-07-09
PMT0003938,L000981,1021.25,2023-01-27
PMT0002504,L000625,"5,696",2023-12-14
PMT0002136,L000531,6649.91,2024-04-06
PMT0003386,L000847,5725.52,2025-12-13
PMT0000716,L000181,2899.71,2023-09-26
PMT0000894,L000226,15498.89,2025-04-14
PMT0000694,L000173,10665.35,2025-04-17
PMT0004162,L001034,17738.62,2026-04-06
PMT0000452,L000112,5945.13,2024-03-15
PMT0002616,L000653,6306.59,2025-06-26
PMT0001528,L000379,10818.8,2024-05-03
PMT0003929,L000980,5841.31,2024-06-26
PMT0002109,L000525,4440.04,2023-07-01
PMT0003239,L000810,2110.31,2024-12-05
PMT0002897,L000721,4752.8,2024-11-19
PMT0001741,L000436,4476.31,2024-05-04
PMT0000630,L000152,1705.57,2023-11-17
PMT0004980,L001248,11730.86,2023-03-26
PMT0003103,L000779,10884.73,2024-01-21
PMT0000679,L000170,16351.17,2023-03-23
PMT0002316,L000581,"9,501",2024-09-13
PMT0001374,L000341,87909.94,2022-12-05
PMT0000585,L000140,7274.76,2024-05-13
PMT0001600,L000401,870.48,06-May-2024
PMT0000772,L000193,11197.84,2023-03-15
PMT0001095,L000276,382.88,2024-03-24
PMT0004166,L001035,9207.16,2023-03-02
PMT0003883,L000965,34848.76,2024-02-08
PMT0004375, L001090 ,94655.07,2024-09-26
PMT0004018, L001000 ,unknown,2025-02-08
PMT0002740,L000679,nan,2024-08-10
PMT0003819,L000949,1642.4,2023-11-28
PMT0003876,L000963,7396.31,2024-06-18
PMT0003397,L000850,3350.31,2025-10-17
PMT0002930,L000730,9368 CAD,2023-03-05
PMT0002707,L000671,1752.57,2023-04-18
PMT0001941,L000482,28936.69,2023-07-10
PMT0001293,L000323,8678.79,2024-02-24
PMT0004465,L001118,1754.42,2023-09-27
PMT0003892,L000968,7419.9,2022-12-23
PMT0004467,L001118,1525.27,2023-04-12
PMT0003364,L000843,10446.99,2023-04-27
PMT0002113,L000526,34925.28,2024-09-29
PMT0000246, L000060 ,7875.22,2023-04-26
PMT0003782,L000938,-14057.09,2024-02-22
PMT0002874,L000713,7533.94,2025-07-23
PMT0000961,L000241,4132.95,2025-08-26
PMT0002787,L000695,14024.75,2025-05-12
PMT0001531,L000380,2874.61,2023-04-06
PMT0002818,L000701,1860.65,2024-10-14
PMT0004607,L001152,55587.4,2024-04-05
PMT0003990, L000993 ,24937.02,2023-05-12
PMT0002155,L000537,1924.93,2023-05-21
PMT0000160,L000040,unknown,2022-07-06
PMT0004448,L001111,15614.59,2024-11-11
PMT0003365,L000843,10185.99,2024-04-07
PMT0003048,L000764,7214.71,2025-08-26
PMT0002702,L000670,4898.38,2024-07-23
PMT0004013,L000999,4085.81,2025-07-18
PMT0004112,L001021,5361.0,2022-08-09
PMT0003681,L000915,9883.66,03/01/2025
PMT0004022,L001001,-7169.45,2023-10-13
PMT0003306,L000825,25721.45,2023-10-06
PMT0004531,L001133,4787.23,2023-07-13
PMT0004457,L001116,unknown,2026-03-10
PMT0003058,L000767,37219.65,2024-06-02
PMT0001821,L000455,29879.48,2024-09-17
PMT0003478,L000868,28172.45,2024-07-09
PMT0002123,L000528,4207.54,2025-10-04
PMT0004184,L001041,8582.56,2024-07-14
PMT0000218,L000054,18281.05,2025-12-10
PMT0003199,L000800,nan,2023-05-13
PMT0002029,L000506,5870.23,2024-04-02
PMT0004697,L001176,13242.88,2024-08-05
PMT0000184,L000047,4641.63,2023-10-31
PMT0003716,L000925,"2,670",2022-10-07
PMT0000437,L000107,6181.76,2024-10-16
PMT0000224,L000056,"$7,001.98",2024-02-22
PMT0002621,L000654,4522.84,2023-11-13
PMT0001502,L000373,2825.86,2024-08-23
PMT0003291,L000823,9836.98,2022-06-08
PMT0001766,L000443,15780.74,2023-06-28
PMT0004513,L001130,,2026-04-04
PMT0002042,L000509,4123.56,08/12/2022
PMT0002878,L000714,5704.85,2023-11-28
PMT0003015,L000751,10182.08,2025-07-05
PMT0002613,L000652,48485.25,2023-11-09
PMT0001577,L000393,54222.83,2022-10-17
PMT0003993,L000994,85118.88,2024-09-21
PMT0001826,L000457,41171.77,2023-04-16
PMT0004857,L001215,7688.12,2023-08-20
PMT0004878,L001220,4827.15,2024-11-23
PMT0002047,L000510,6466.4,2025-04-09
PMT0003560, L000885 ,4615.24,2026-01-15
PMT0000276,L000065,"37,646",2022-10-29
PMT0000806,L000201,2185.77,2025-01-18
PMT0000917,L000232,"3,830",2025-06-10
PMT0002523,L000630,8971.42,2024-07-10
PMT0000626,L000150,10471.4,2023-11-17
PMT0004862,L001217,45418.89,2024-04-10
PMT0002381,L000597,3391.55,2025-01-25
PMT0001090,L000274,3319.46,2024-11-02
PMT0004115,L001022,5697.12,2024-09-08
PMT0000201,L000050,8652.74,2024-08-23
PMT0004266,L001062,20955.33,2024-05-02
PMT0000547,L000131,5221.48,2025-09-09
PMT0001500,L000372,2223.29,2025-04-24
PMT0001187,L000301,17224.2,2025-05-04
PMT0000051,L000011,3875.37,2024-02-24
PMT0000066, L000015 ,27955.89,2024-07-11
PMT0004711,L001180,17061.12,2024-06-28
PMT0001312,L000327,7330.53,2024-01-02
PMT0001349,L000335,2870.85,2025-10-05
PMT0000474,L000116,5620.83,2024-05-24
PMT0003362, L000842 ,24206.31,2023-12-31
PMT0002003,L000498,23881.16,2025-02-02
PMT0001864,L000465,12296.83,2023-05-01
PMT0003289,L000823,8565.02,2022-05-29
PMT0002373,L000595,6956.77,2024-09-27
PMT0004791,L001200,"$1,340.53",2024-03-22
PMT0000670,L000165,92249.41,2024-12-15
PMT0002213,L000554,"2,372",2024-06-04
PMT0004736,L001188,2880.12,2023-06-30
PMT0004105,L001019,2001.76,2026-01-23
PMT0004345,L001083,4960.88,2024-05-06
PMT0001446, L000360 ,1937.91,2022-09-28
PMT0003073,L000772,4418.16,2024-05-09
PMT0002076,L000516,1404 CAD,2024-05-05
PMT0002562,L000639,14217.43,2024-06-08
PMT0003528,L000879,1769.62,2023-11-03
PMT0003338,L000836,26506.09,2024-06-20
PMT0003783,L000938,16808.82,2024-03-01
PMT0001658,L000416,8273.68,2025-12-29
PMT0001014,L000254,8844.85,2025-07-30
PMT0002680,L000665,26335.7,2023-02-25
PMT0000144,L000036,15529.42,12/10/2022
PMT0003832,L000952,29353.87,2023-06-17
PMT0000898,L000227,"$9,705.55",2023-06-08
PMT0000069,L000016,-3045.28,2023-10-30
PMT0003930,L000980,5381.04,2023-07-05
PMT0002420,L000604,3688.23,2024-03-27
PMT0003699,L000920,4533.69,2022-12-22
PMT0000469,L000115,5118.87,2024-01-12
PMT0003394,L000849,1970.93,2023-04-01
PMT0001522,L000378,4546.41,2024-04-10
PMT0000834,L000210,3990.68,2023-12-11
PMT0001832,L000459,12185.68,2022-12-31
PMT0003677,L000914,6369.49,2025-08-14
PMT0000300,L000072,20947.53,2023-06-25
PMT0001054,L000262,"4,068",2023-10-23
PMT0004437,L001106,4038.25,2023-12-28
PMT0000641,L000155,7228.84,2023-03-18
PMT0003825,L000951,7022.4,2025-02-19
PMT0004452,L001113,32572.63,2025-03-23
PMT0003931,L000980,4510.68,2025-01-18
PMT0000919,L000233,-4798.86,2024-04-09
PMT0000318,L000079,2941.05,2023-02-30
PMT0004329,L001078,3155.32,2022-12-11
PMT0003893,L000968,9737 CAD,2023-04-21
PMT0004822,L001207,20717 CAD,2022-09-19
PMT0000765,L000192,1326.92,2024-12-01
PMT0000042, L000008 ,1087.38,2024-05-30
PMT0000366,L000090,7864.39,2023-05-29
PMT0003085,L000776,2618.85,2024-02-09
PMT0001460, L000362 ,1154.29,2022-04-16
PMT0004879, L001220 ,4064.49,2025-02-05
PMT0003139,L000788,3278.01,2025-06-05
PMT0000483,L000118,11772.26,2024-03-29
PMT0000608,L000145,-9347.82,2024-07-30
PMT0001106,L000279,32376.96,2024-11-26
PMT0001927,L000478,80313.09,2023-10-18
PMT0002855, L000708 ,10713.96,2022-12-05
PMT0001937,L000481,14139.41,2023-03-08
PMT0004010,L000999,4611.3,2024-05-24
PMT0000577,L000139,1925.06,2024-10-17
PMT0001003,L000252,4326.34,2022-09-15
PMT0003956,L000986,10213.68,2024-06-18
PMT0002366,L000593,6037.65,2024-11-12
PMT0000285,L000068,10865.7,2023-12-23
PMT0004114,L001022,8441.51,2025-02-02
PMT0000881,L000223,13677.78,2023-07-24
PMT0000661,L000162,18593.47,2023-09-11
PMT0001438,L000357,13355.6,2025-07-09
PMT0000532,L000128,2417.82,2024-05-17
PMT0004406, L001096 ,18434.25,2022-12-01
PMT0003784,L000939,7686.34,2024-06-15
PMT0002986,L000743,2469.89,11/24/2024
PMT0002162, L000538 ,7951.75,2025-05-02
PMT0004358,L001085,13159.82,2024-07-07
PMT0003357,L000841,16747.27,2023-04-04
PMT0002798,L000697,24295.82,2025-09-19
PMT0003761,L000934,5062.63,2025-04-02
PMT0003162,L000793,2835.22,2024-04-02
PMT0001551,L000384,3750.18,2024-07-18
PMT0001484,L000368,-10832.91,2025-08-21
PMT0003086,L000776,6316.69,2024-02-04
PMT0001417,L000352,"$11,379.13",2024-10-20
PMT0004932,L001236,57475.41,2022-08-09
PMT0000905, L000229 ,18525.16,2025-02-04
PMT0003949,L000985,29784.69,2024-12-12
PMT0004111,L001021,5339 CAD,2024-03-09
PMT0003645,L000907,6897.37,2023-10-29
PMT0000294,L000070,7507.84,2023-02-20
PMT0002104,L000524,739.33,2024-10-05
PMT0000637,L000154,7366.15,2024-05-12
PMT0001642,L000412,1595.05,2024-10-26
PMT0003470,L000865,4779.88,2025-02-02
PMT0003981,L000991,6266.74,2023-10-21
PMT0004138,L001028,16436.55,22-Feb-2025
PMT0004131,L001026,11183.17,2023-06-27
PMT0000121,L000029,15958.2,04-Jul-2023
PMT0002409, L000602 ,13668.79,2024-09-07
PMT0002188,L000547,3754.73,2022-12-06
PMT0001936,L000480,6593.29,2022-05-14
PMT0002921,L000728,1409.28,2023-09-05
PMT0001227,L000310,3285.04,2024-12-12
PMT0001224,L000310,2689.51,2025-11-25
PMT0002023,L000505,13257.9,2025-01-19
PMT0004040,L001005,1820.83,2023-05-24
PMT0003625,L000902,7224.76,2024-01-30
PMT0002910,L000725,3201.22,2024-04-06
PMT0001755, L000440 ,14049.81,2023-02-21
PMT0001452,L000361,12159.77,2024-06-25
PMT0002240,L000560,33187.06,2024-08-25
PMT0003419,L000854,20914.81,12/20/2024
PMT0002688,L000667,3691.07,2024-04-04
PMT0000579,L000139,2175.7,2023-02-28
PMT0000559,L000134,29191.42,2024-07-02
PMT0004721,L001183,31311.65,2023-07-25
PMT0000348,L000088,7296.16,2025-08-24
PMT0002760,L000687,2681.3,2024-09-09
PMT0001008,L000253,"$13,069.09",2025-02-20
PMT0001283,L000321,5383.94,2022-12-13
PMT0004347,L001083,8502.13,2025-02-09
PMT0003102,L000779,10599.98,2023-12-11
PMT0003361,L000841,"$14,884.79",25-Sep-2022
PMT0002722,L000674,"7,056",2024-10-26
PMT0002391,L000598,15970.7,2022-10-06
PMT0003967,L000989,14415.12,2023-07-04
PMT0000359,L000089,3897.44,2023-01-22
PMT0000392, L000098 ,"$1,694.32",2025-06-29
PMT0002002,L000497,8108.56,2024-11-16
PMT0003554,L000885,7549.21,2024-09-06
PMT0003075,L000773,9730.25,2023-01-10
PMT0003764,L000935,2130.42,2024-06-11
PMT0002724,L000675,5870.87,2024-12-17
PMT0003134,L000787,13302.88,2025-01-19
PMT0001591,L000398,"10,163",2025-10-15
PMT0001362,L000338,18424.4,2024-05-07
PMT0001644,L000412,3395.95,2024-08-14
PMT0004499,L001125,11292.69,2023-03-02
PMT0004563,L001140,33778.18,2025-12-31
PMT0000998,L000250,5456.69,2024-08-23
PMT0001447,L000360,2643.42,2023-09-15
PMT0004975,L001247,3725.94,2024-04-13
PMT0004873,L001220,6770.18,2024-07-06
PMT0001263,L000317,3747.44,2026-02-11
PMT0002947,L000734,13002.81,2025-06-20
PMT0000225,L000056,2316.99,2023-09-16
PMT0000524,L000126,17459 CAD,2024-01-22
PMT0000840,L000211,1477.55,2024-03-01
PMT0000306,L000076,16847.76,2025-05-24
PMT0003127, L000786 ,882.16,2025-09-01
PMT0000730,L000186,15835.28,2023-08-14
PMT0002705,L000671,3551.18,2024-12-04
PMT0000648,L000158,21701.64,2023-09-13
PMT0000550,L000132,11679.91,2024-01-16
PMT0000519,L000125,11398.5,18-Dec-2023
PMT0004621,L001155,11768.94,2024-10-05
PMT0003028,L000756,44595.62,2023-08-07
PMT0002471,L000618,8575.8,2023-06-24
PMT0003561,L000886,37881.46,2025-12-18
PMT0001579,L000395,26492.46,2024-07-23
PMT0002379,L000596,5891.44,2024-12-23
PMT0000652,L000160,14967.48,2022-12-18
PMT0000403,L000101,5539.02,2023-08-23
PMT0001339,L000333,6318.58,2024-01-19
PMT0002096,L000522,8865.97,2023-12-25
PMT0001708,L000427,3237.6,2024-07-12
PMT0003762,L000935,2455.83,2025-01-18
PMT0003599,L000896,5245.35,2025-02-17
PMT0001762,L000442,20316.85,2023-02-17
PMT0002804,L000697,22114.76,2024-10-19
PMT0004636,L001159,-1917.63,2025-01-02
PMT0002404,L000601,18255.57,2026-03-04
PMT0004488,L001123,37426.95,2025-12-17
PMT0001144,L000290,8552.08,2025-01-10
PMT0002880,L000714,4476.49,2023-07-21
PMT0000879,L000222,7284.31,2024-02-20
PMT0000647, L000158 ,7013.81,2023-04-19
PMT0003704,L000920,"$3,995.57",2022-12-17
PMT0004930,L001235,3566.01,2025-02-11
PMT0002850, L000707 ,14653.66,2023-03-13
PMT0001027,L000257,1593.59,2025-01-11
PMT0002651,L000659,"7,701",2022-09-03
PMT0001351,L000335,4950.9,2024-02-27
PMT0001462,L000363,2597.5,2024-11-04
PMT0002699,L000669,1935.83,2025-06-12
PMT0000836,L000210,6048.78,2024-10-28
PMT0004320,L001076,27558.1,2025-07-19
PMT0002143,L000533,9013.43,05/19/2025
PMT0003489,L000870,10312.84,2024-11-25
PMT0003849,L000956,8801.5,2024-05-26
PMT0003596,L000894,1877.93,2025-06-30
PMT0000721,L000182,48751.94,2025-05-20
PMT0000427,L000106,5400.19,2024-06-22
PMT0001223,L000310,1964.02,2025-06-20
PMT0002367,L000594,"19,042",2024-11-14
PMT0004169, L001037 ,1242.49,2024-11-27
PMT0002322,L000584,6713.35,2024-10-09
PMT0003367,L000843,10312 CAD,2023-12-04
PMT0000533, L000129 ,"$5,912.67",2025-02-24
PMT0002438,L000609,1457.33,2025-08-17
PMT0000462,L000114,20036.34,2024-12-28
PMT0000751, L000189 ,5169.79,2025-02-04
PMT0003277,L000818,6566.92,2022-12-05
PMT0002081,L000517,20814.84,2026-04-28
PMT0001613,L000403,4818.29,2023-02-19
PMT0003225,L000806,28918.84,2023-07-30
PMT0002207, L000552 ,19350.35,2023-04-09
PMT0000198,L000049,13977.95,2025-07-16
PMT0000412,L000102,2424.15,2025-07-26
PMT0003980,L000991,5860.63,2023-03-23
PMT0002799,L000697,24512.84,2025-04-08
PMT0004187,L001041,7009.75,2024-09-23
PMT0000759,L000190,2399.99,2024-12-24
PMT0001159,L000295,20411.31,2023-09-01
PMT0003869,L000961,59940.43,2026-04-12
PMT0002313,L000579,"$3,378.93",2025-06-19
PMT0004542,L001135,5457.09,2023-11-24
PMT0002206,L000552,5731.1,2023-12-14
PMT0003305,L000825,21305.3,02/23/2025
PMT0002046,L000510,9466.98,2025-06-03
PMT0001116,L000284,27288.01,2023-07-18
PMT0003414,L000853,"$8,737.77",2022-11-17
PMT0000028,L000006,3819 CAD,2023-08-09
PMT0002482,L000621,2532.24,2024-04-25
